REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select housing indicators,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Not condominium,Number of households,Number,223,units,0,v1596448348,25.3.12.1,337900,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, satisfaction with dwelling",Number of households,Number,223,units,0,v1596448354,25.3.13.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, satisfaction with dwelling",Number of households,Number,223,units,0,v1596448354,25.3.13.1,477700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Dwelling satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448360,25.3.14.1,65700,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Dwelling satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448360,25.3.14.1,62800,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Dwelling satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448366,25.3.15.1,136400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Dwelling satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448366,25.3.15.1,153900,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448372,25.3.16.1,330600,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448372,25.3.16.1,260900,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, satisfaction with neighbourhood",Number of households,Number,223,units,0,v1596448378,25.3.17.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, satisfaction with neighbourhood",Number of households,Number,223,units,0,v1596448378,25.3.17.1,477700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Neighbourhood satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448384,25.3.18.1,67800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Neighbourhood satisfaction rating between 0 and 5,Number of households,Number,223,units,0,v1596448384,25.3.18.1,63600,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Neighbourhood satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448390,25.3.19.1,115400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Neighbourhood satisfaction rating of 6 or 7,Number of households,Number,223,units,0,v1596448390,25.3.19.1,105700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448402,25.3.20.1,349600,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10",Number of households,Number,223,units,0,v1596448402,25.3.20.1,308400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448408,25.3.21.1,20100,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448408,25.3.21.1,12000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government",Number of households,Number,223,units,0,v1596448408,25.3.21.1,9800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448414,25.3.22.1,0,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448414,25.3.22.1,300,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved due to a natural disaster or fire,Number of households,Number,223,units,0,v1596448414,25.3.22.1,900,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448420,25.3.23.1,36400,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448420,25.3.23.1,53400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new job or job transfer,Number of households,Number,223,units,0,v1596448420,25.3.23.1,34800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448426,25.3.24.1,14700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448426,25.3.24.1,8600,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for a new school,Number of households,Number,223,units,0,v1596448426,25.3.24.1,2400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448432,25.3.25.1,131500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448432,25.3.25.1,126800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to form own household,Number of households,Number,223,units,0,v1596448432,25.3.25.1,106400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448438,25.3.26.1,33100,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448438,25.3.26.1,21100,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be closer to family,Number of households,Number,223,units,0,v1596448438,25.3.26.1,24700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448444,25.3.27.1,59600,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448444,25.3.27.1,70600,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved because of a change in household or family size,Number of households,Number,223,units,0,v1596448444,25.3.27.1,43500,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce commuting time,Number of households,Number,223,units,0,v1596448450,25.3.28.1,30500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce commuting time,Number of households,Number,223,units,0,v1596448450,25.3.28.1,53000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce commuting time,Number of households,Number,223,units,0,v1596448450,25.3.28.1,17600,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling,Number of households,Number,223,units,0,v1596448456,25.3.29.1,117400,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling,Number of households,Number,223,units,0,v1596448456,25.3.29.1,144700,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling,Number of households,Number,223,units,0,v1596448456,25.3.29.1,76300,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce housing costs,Number of households,Number,223,units,0,v1596448468,25.3.30.1,34600,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce housing costs,Number of households,Number,223,units,0,v1596448468,25.3.30.1,10000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to reduce housing costs,Number of households,Number,223,units,0,v1596448468,25.3.30.1,4200,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be in a more desirable neighbourhood,Number of households,Number,223,units,0,v1596448474,25.3.31.1,63000,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be in a more desirable neighbourhood,Number of households,Number,223,units,0,v1596448474,25.3.31.1,70900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to be in a more desirable neighbourhood,Number of households,Number,223,units,0,v1596448474,25.3.31.1,40800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for personal health reasons,Number of households,Number,223,units,0,v1596448480,25.3.32.1,9500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for personal health reasons,Number of households,Number,223,units,0,v1596448480,25.3.32.1,12900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for personal health reasons,Number of households,Number,223,units,0,v1596448480,25.3.32.1,2100,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to become a homeowner,Number of households,Number,223,units,0,v1596448486,25.3.33.1,309500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to become a homeowner,Number of households,Number,223,units,0,v1596448486,25.3.33.1,335900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved to become a homeowner,Number of households,Number,223,units,0,v1596448486,25.3.33.1,341700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved due to issues with previous landlord or other tenants,Number of households,Number,223,units,0,v1596448492,25.3.34.1,14400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved due to issues with previous landlord or other tenants,Number of households,Number,223,units,0,v1596448492,25.3.34.1,20300,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for another reason,Number of households,Number,223,units,0,v1596448498,25.3.35.1,2700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for another reason,Number of households,Number,223,units,0,v1596448498,25.3.35.1,2300,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Moved for another reason,Number of households,Number,223,units,0,v1596448498,25.3.35.1,36700,,,,0
