REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select household characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,20800,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,40200,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,43400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,8500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,11100,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,9500,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,1100,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,4900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,2200,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,474200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,477700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,415300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,454000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,410500,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207720,25.3.18.1,57500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207720,25.3.18.1,78800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207720,25.3.18.1,63900,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207726,25.3.19.1,474200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207726,25.3.19.1,532700,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207726,25.3.19.1,477600,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207738,25.3.20.1,167700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207738,25.3.20.1,238400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207738,25.3.20.1,220400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207744,25.3.21.1,298700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207744,25.3.21.1,294500,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207744,25.3.21.1,250300,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207750,25.3.22.1,474300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207750,25.3.22.1,532700,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207750,25.3.22.1,477700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207756,25.3.23.1,31200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207756,25.3.23.1,26800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207756,25.3.23.1,41800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Difficult to meet financial needs,Number of households,Number,223,units,0,v1595207762,25.3.24.1,90200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Difficult to meet financial needs,Number of households,Number,223,units,0,v1595207762,25.3.24.1,96800,,,,0
